section,subfolder,filename,date,doc_type,facility_or_case,ext,path
01_Case_Overview_and_GNoL_Position,,BoCo Planning Commission Talking Points 8.17.22.xlsx,2022-08-17,Talking points,,xlsx,01_Case_Overview_and_GNoL_Position/BoCo Planning Commission Talking Points 8.17.22.xlsx
01_Case_Overview_and_GNoL_Position,,BoCo Planning Commission Talking Points 9.1.22.docx,2022-09-01,Talking points,,docx,01_Case_Overview_and_GNoL_Position/BoCo Planning Commission Talking Points 9.1.22.docx
01_Case_Overview_and_GNoL_Position,,BoCo Planning Commission Talking Points 9.1.22.xlsx,2022-09-01,Talking points,,xlsx,01_Case_Overview_and_GNoL_Position/BoCo Planning Commission Talking Points 9.1.22.xlsx
01_Case_Overview_and_GNoL_Position,,CEMEX Lyons - An Alternative Proposal - 07.07.2022 [CONFIDENTIAL DRAFT].pdf,2022-07-07,Proposal,,pdf,01_Case_Overview_and_GNoL_Position/CEMEX Lyons - An Alternative Proposal - 07.07.2022 [CONFIDENTIAL DRAFT].pdf
01_Case_Overview_and_GNoL_Position,,CEMEX Permit Application Questions and Concerns.docx,,Permit,,docx,01_Case_Overview_and_GNoL_Position/CEMEX Permit Application Questions and Concerns.docx
01_Case_Overview_and_GNoL_Position,,CEMEX Proposal Options.pdf,,Proposal,,pdf,01_Case_Overview_and_GNoL_Position/CEMEX Proposal Options.pdf
01_Case_Overview_and_GNoL_Position,,Planning Commission Talking Points.docx,,Talking points,,docx,01_Case_Overview_and_GNoL_Position/Planning Commission Talking Points.docx
01_Case_Overview_and_GNoL_Position,,Public Copy of CEMEX Financial Analysis & Proposal Options [v1.0].xlsx,,Proposal,,xlsx,01_Case_Overview_and_GNoL_Position/Public Copy of CEMEX Financial Analysis & Proposal Options [v1.0].xlsx
02_Nonconforming_Use_Evidence,,CEMEX Timelines - Technical Revisions & Non-Conforming Uses.xlsx,,Revision,,xlsx,02_Nonconforming_Use_Evidence/CEMEX Timelines - Technical Revisions & Non-Conforming Uses.xlsx
02_Nonconforming_Use_Evidence,,Non-Conforming Uses for Lyons Quarry.pdf,,Document,,pdf,02_Nonconforming_Use_Evidence/Non-Conforming Uses for Lyons Quarry.pdf
02_Nonconforming_Use_Evidence,,Response to BOCO Oct 2023 letter.pdf,2023-10-00,Letter,,pdf,02_Nonconforming_Use_Evidence/Response to BOCO Oct 2023 letter.pdf
02_Nonconforming_Use_Evidence,Board_of_Adjustment,Exhibit C- Pete L_Orange - Ask a Planner - Bart Lorang 8.23.2022.pdf,2022-08-23,Document,,pdf,02_Nonconforming_Use_Evidence/Board_of_Adjustment/Exhibit C- Pete L_Orange - Ask a Planner - Bart Lorang 8.23.2022.pdf
02_Nonconforming_Use_Evidence,Board_of_Adjustment,board-of-adjustment-supplemental-rules-and-procedures.pdf,,Document,,pdf,02_Nonconforming_Use_Evidence/Board_of_Adjustment/board-of-adjustment-supplemental-rules-and-procedures.pdf
02_Nonconforming_Use_Evidence,Board_of_Adjustment/Martin_Marietta_Precedent,BOA Hearing Guidelines.pdf,,Document,,pdf,02_Nonconforming_Use_Evidence/Board_of_Adjustment/Martin_Marietta_Precedent/BOA Hearing Guidelines.pdf
